mode,context_id,method,energy_kwh_mean,energy_kwh_ci95,comfort_violation_rate_mean,comfort_violation_rate_ci95,mean_temperature_deviation_mean,mean_temperature_deviation_ci95,action_instability_mean,action_instability_ci95,cumulative_reward_mean,cumulative_reward_ci95,deployment_score_mean,deployment_score_ci95,deployment_score_joint_mean,deployment_score_joint_ci95
dummy,s1_small_office_mild_tmy,ashrae,182.77010707318468,1.7793427753034434,0.3923611111111111,0.01416689360747786,0.35146367117848604,0.00714328880680176,0.10590277777777772,1.9233632618876244e-17,-225.9004874475901,4.291211783722518,186.12080151762908,1.8272580552499684,186.12080151762908,1.8272580552499333
dummy,s1_small_office_mild_tmy,cloud_only,171.0285911091739,1.7081852367079184,0.46527777777777773,0.01178756799595485,0.13000424302902266,0.0032240069369126527,0.0101006858878665,0.0002983955311925273,-95.55132479460319,2.0449440064972597,174.77101470317186,1.7837127969864717,174.77101470317186,1.7837127969864717
dummy,s1_small_office_mild_tmy,edge_cloud_adaptive,169.39243731584256,1.7066336852175494,0.4953703703703704,0.006001935844544687,0.16068602827449094,0.0041567272435717615,0.011245871031725798,0.00022133984717420747,-113.04418530686468,2.5936683029945997,173.37789202086898,1.7500888170837254,173.37789202086898,1.7500888170837254
dummy,s1_small_office_mild_tmy,edge_only,171.0285911091739,1.7081852367079184,0.46527777777777773,0.01178756799595485,0.13000424302902266,0.0032240069369126527,0.0101006858878665,0.0002983955311925273,-95.55132479460319,2.0449440064972597,174.77101470317186,1.7837127969864717,174.77101470317186,1.7837127969864717
dummy,s1_small_office_mild_tmy,ppo_multicontext,171.0285911091739,1.7081852367079184,0.46527777777777773,0.01178756799595485,0.13000424302902266,0.0032240069369126527,0.0101006858878665,0.0002983955311925273,-95.55132479460319,2.0449440064972597,174.77101470317186,1.7837127969864717,174.77101470317186,1.7837127969864717
dummy,s1_small_office_mild_tmy,ppo_static,167.4748567736284,1.7099447115758866,0.5347222222222222,0.007858378663969878,0.19352244005540972,0.0036950052183347486,0.0108109679487016,0.00018847370283430858,-131.7215862232127,2.3309495727083998,171.77425648730357,1.7606073800313933,171.77425648730357,1.7606073800314008
dummy,s1_small_office_mild_tmy,static,156.31072117893055,1.6104703470830501,0.6516203703703703,0.012630576563827394,0.45995518679240127,0.007368747203284196,0.0,0.0,-283.69147413389516,4.437643125177574,161.52368414189354,1.711414254991952,161.52368414189354,1.7114142549919702
dummy,s2_small_office_mild_amy,ashrae,167.21559069496357,1.3950291231022354,0.49189814814814814,0.006001935844544687,0.4558523404191696,0.004123950041352884,0.0711805555555555,0.0,-283.66181896483687,2.4864880120130315,171.29313699125987,1.3676501183530396,171.29313699125987,1.3676501183530418
dummy,s2_small_office_mild_amy,cloud_only,167.6171114136832,1.1744366113238818,0.42476851851851855,0.0022685185185185104,0.1667170783827686,0.0031678503165218025,0.013405754610344168,4.797240506475981e-05,-116.33613338450549,1.9652497051960232,171.042071071052,1.1595845315604503,171.042071071052,1.1595845315604503
dummy,s2_small_office_mild_amy,edge_cloud_adaptive,165.46021903082126,1.1721029858059837,0.4641203703703704,0.006001935844544687,0.19576112816020683,0.00278957252726053,0.014719844968230601,6.0032336478540936e-05,-132.82560187152012,1.7465162339010283,169.2026216837207,1.190428192110843,169.2026216837207,1.190428192110828
